id_indiv,id_territoire,id_legis,id_mandat,id_inves,id_motif_deb,id_motif_fin,remporte,id_suppleant,date_deb,date_fin
PA722228,PO718300,15,1,,1,3,True,PA722232,2017-06-18,2022-06-21
PA1886,PO230956,12,1,,1,3,True,PA1170,2002-06-19,2007-06-19
PA1886,PO384788,13,1,,1,3,True,PA346932,2007-06-20,2012-06-19
PA1886,PO644942,14,1,,1,7,True,PA643053,2012-06-20,2017-01-06
PA1886,PO644942,14,1,,10,3,True,PA643053,2012-06-20,2017-06-20
PA345722,PO718444,15,1,,1,3,True,PA721942,2017-06-18,2022-06-21
PA345722,PO792548,16,1,,1,0,True,PA795860,2022-06-19,
PA2357,PO384629,13,1,,1,3,True,PA344776,2007-06-20,2012-06-19
PA2343,PO384368,13,1,,1,3,True,PA2495,2007-06-20,2012-06-19
PA2343,PO230536,12,1,,1,3,True,PA2495,2002-06-19,2007-06-19
PA2343,PO644522,14,1,,1,3,True,PA643124,2012-06-20,2017-06-20
PA794830,PO792262,16,1,,1,0,True,PA794834,2022-06-19,
PA794818,PO792240,16,1,,1,0,True,PA794822,2022-06-19,
PA1689,PO230572,12,1,,1,3,True,PA2225,2002-06-19,2007-06-19
PA1689,PO384404,13,1,,1,3,True,PA341816,2007-06-20,2012-06-19
PA1689,PO644558,14,1,,1,3,True,PA341816,2012-06-20,2017-06-20
PA608416,PO644770,14,1,,1,3,True,PA642929,2012-06-20,2017-06-20
PA608416,PO718138,15,1,,1,3,True,PA722328,2017-06-18,2022-06-21
PA608416,PO792238,16,1,,1,0,True,PA722328,2022-06-19,
PA606375,PO645001,14,1,,4,6,True,,2012-06-20,2014-12-21
PA227,PO384390,13,1,,4,3,True,,2007-06-20,2012-06-19
PA721912,PO718278,15,1,,4,3,True,,2017-06-18,2022-06-21
PA2155,PO717514,15,1,,1,3,True,PA718888,2017-06-18,2022-06-21
PA2155,PO230471,12,1,,4,3,True,,2002-06-19,2007-06-19
PA2155,PO644457,14,1,,14,3,True,PA705466,2014-12-14,2017-06-20
PA2155,PO384303,13,1,,4,6,True,,2007-06-20,2012-06-16
PA343623,PO644692,14,1,,1,5,True,PA642876,2012-06-20,2016-04-15
PA343623,PO384538,13,1,,13,3,True,,2007-06-20,2012-06-19
PA719080,PO717578,15,1,,1,3,True,PA719084,2017-06-18,2022-06-21
PA719080,PO792810,16,1,,1,0,True,PA793544,2022-06-19,
PA267965,PO644818,14,1,,1,3,True,PA642956,2012-06-20,2017-06-20
PA267965,PO384678,13,1,,1,3,True,PA267966,2007-06-20,2012-06-19
PA267965,PO230846,12,1,,15,3,True,PA267966,2003-02-02,2007-06-19
PA610729,PO645015,14,1,,1,3,True,PA643172,2012-06-20,2017-06-20
PA267756,PO230568,12,1,,4,3,True,,2002-06-19,2007-06-19
PA721286,PO718472,15,1,,1,3,True,PA721290,2017-06-18,2022-06-21
PA720198,PO717900,15,1,,4,6,True,,2017-06-18,2018-11-16
PA2828,PO717600,15,1,,1,3,True,PA719040,2017-06-18,2022-06-21
PA2828,PO644485,14,1,,1,3,True,PA642708,2012-06-20,2017-06-20
PA606639,PO645004,14,1,,1,3,True,PA642775,2012-06-20,2017-06-20
PA606639,PO718548,15,1,,1,3,True,PA719838,2017-06-18,2022-06-21
PA606639,PO792742,16,1,,1,0,True,PA793920,2022-06-19,
PA608172,PO792182,16,1,,1,0,True,PA794694,2022-06-19,
PA608172,PO718066,15,1,,1,3,True,PA642900,2017-06-18,2022-06-21
PA608172,PO644746,14,1,,1,3,True,PA642900,2012-06-20,2017-06-20
PA267018,PO384642,13,1,,1,3,True,PA344954,2007-06-20,2012-06-19
PA267018,PO230810,12,1,,1,3,True,,2002-06-19,2007-06-19
PA2800,PO644684,14,1,,4,6,True,,2012-06-20,2014-09-26
PA610701,PO644988,14,1,,1,3,True,PA643169,2012-06-20,2017-06-20
PA810,PO384437,13,1,,1,3,True,PA2646,2007-06-20,2012-06-19
PA810,PO644589,14,1,,1,3,True,PA2679,2012-06-20,2017-06-20
PA810,PO230605,12,1,,1,3,True,PA2646,2002-06-19,2007-06-19
PA590032,PO644868,14,1,,1,7,True,PA609465,2012-06-20,2012-07-21
PA590032,PO644868,14,1,,10,3,True,PA609465,2012-06-20,2017-06-20
PA1514,PO230740,12,1,,1,3,True,PA267497,2002-06-19,2007-06-19
PA1514,PO384572,13,1,,1,3,True,PA344062,2007-06-20,2012-06-19
PA719692,PO717784,15,1,,1,3,True,PA719696,2017-06-18,2022-06-21
PA344776,PO644783,14,1,,1,3,True,PA642922,2012-06-20,2017-06-20
PA642682,PO644468,14,1,,4,6,True,,2012-06-20,2014-05-02
PA722162,PO718352,15,1,,1,3,True,PA722166,2017-06-18,2022-06-21
PA722162,PO792472,16,1,,1,0,True,PA795418,2022-06-19,
PA1266,PO230645,12,1,,1,3,True,PA267731,2002-06-19,2007-06-19
PA795864,PO792542,16,1,,1,0,True,PA721950,2022-06-19,
PA588872,PO644821,14,1,,1,7,True,PA267954,2012-06-20,2012-07-21
PA588872,PO644821,14,1,,10,3,True,PA267954,2012-06-20,2017-06-20
PA330008,PO384267,13,1,,1,3,True,PA267250,2007-06-20,2012-06-19
PA330008,PO717478,15,1,,1,3,True,PA642640,2017-06-18,2022-06-21
PA330008,PO644421,14,1,,1,3,True,PA642640,2012-06-20,2017-06-20
PA330008,PO792640,16,1,,1,0,True,PA642640,2022-06-19,
PA267622,PO230933,12,1,,1,3,True,PA267623,2002-06-19,2007-06-19
PA267622,PO644919,14,1,,1,7,True,PA267623,2012-06-20,2012-07-21
PA267622,PO718410,15,1,,1,11,True,PA722016,2017-06-18,2018-10-03
PA267622,PO384765,13,1,,1,7,True,PA267623,2007-06-20,2012-06-16
PA267622,PO644919,14,1,,10,3,True,PA267623,2012-06-20,2017-06-20
PA720952,PO718600,15,1,,1,3,True,PA720956,2017-06-18,2022-06-21
PA720952,PO792814,16,1,,1,0,True,PA795680,2022-06-19,
PA267144,PO230547,12,1,,1,3,True,PA267145,2002-06-19,2007-06-19
PA267144,PO384379,13,1,,1,3,True,PA267145,2007-06-20,2012-06-19
PA643205,PO718208,15,1,,1,3,True,PA721698,2017-06-18,2022-06-21
PA643205,PO644824,14,1,,4,6,True,,2012-06-20,2017-06-17
PA643211,PO644562,14,1,,4,6,True,,2012-06-20,2014-05-02
PA610891,PO645023,14,1,,1,3,True,PA643070,2012-06-20,2017-06-20
PA422119,PO644869,14,1,,1,3,True,PA427304,2012-06-20,2017-06-20
PA422119,PO384715,13,1,,"élection partielle, remplacement d'un député déchu de son mandat",7,True,PA427304,2009-10-18,2011-07-29
PA2960,PO644724,14,1,,1,3,True,PA642860,2012-06-20,2017-06-20
PA2960,PO718056,15,1,,1,3,True,PA642860,2017-06-18,2022-06-21
PA2960,PO384570,13,1,,10,3,True,PA267773,2007-06-20,2012-06-19
PA2960,PO384570,13,1,,1,7,True,PA267773,2007-06-20,2007-07-19
PA2960,PO792160,16,1,,1,0,True,PA794578,2022-06-19,
PA2960,PO230738,12,1,,20,3,True,PA267773,2005-09-18,2007-06-19
PA267178,PO384301,13,1,,1,3,True,PA340448,2007-06-20,2012-06-19
PA267178,PO644455,14,1,,1,3,True,PA643117,2012-06-20,2017-06-20
PA605278,PO644451,14,1,,1,3,True,PA642668,2012-06-20,2017-06-20
PA609442,PO644866,14,1,,1,3,True,PA642996,2012-06-20,2017-06-20
PA2237,PO230886,12,1,,1,3,True,PA266810,2002-06-19,2007-06-19
PA2237,PO384718,13,1,,1,3,True,PA345998,2007-06-20,2012-06-19
PA1058,PO384812,13,1,,1,3,True,PA267838,2007-06-20,2012-06-19
PA1058,PO230980,12,1,,1,3,True,PA267838,2002-06-19,2007-06-19
PA795482,PO792464,16,1,,1,0,True,PA795486,2022-06-19,
PA332384,PO644598,14,1,,1,3,True,PA643163,2012-06-20,2017-06-20
PA332384,PO384444,13,1,,1,3,True,PA342384,2007-06-20,2012-06-19
PA2579,PO230452,12,1,,1,3,True,PA1247,2002-06-19,2007-06-19
PA390,PO230744,12,1,,1,3,True,PA2131,2002-06-19,2007-06-19
PA390,PO384576,13,1,,1,3,True,PA344109,2007-06-20,2012-06-19
PA719484,PO717700,15,1,,8,3,True,,2017-06-18,2022-06-21
PA384,PO384305,13,1,,1,3,True,PA267093,2007-06-20,2012-06-19
PA384,PO230473,12,1,,1,3,True,PA267093,2002-06-19,2007-06-19
PA722374,PO792274,16,1,,1,0,True,PA794926,2022-06-19,
PA722374,PO718174,15,1,,1,3,True,PA722378,2017-06-18,2022-06-21
PA1931,PO644816,14,1,,1,3,True,PA1918,2012-06-20,2017-06-20
PA1931,PO230833,12,1,,1,3,True,PA266857,2002-06-19,2007-06-19
PA1931,PO384665,13,1,,10,3,True,PA345264,2007-06-20,2012-06-19
PA1931,PO384665,13,1,,1,7,True,PA345264,2007-06-20,2009-07-23
PA793756,PO792966,16,1,,1,0,True,PA793760,2022-06-19,
PA721872,PO718334,15,1,,10,9,True,PA721876,2017-06-18,2021-04-05
PA721872,PO718334,15,1,,1,7,True,PA721876,2017-06-18,2017-07-21
PA268049,PO384825,13,1,,4,3,True,,2007-06-20,2012-06-19
PA347,PO230841,12,1,,1,3,True,PA1521,2002-06-19,2007-06-19
PA606573,PO644577,14,1,,1,3,True,PA642747,2012-06-20,2017-06-20
PA346,PO644933,14,1,,1,3,True,PA267973,2012-06-20,2017-06-20
PA346,PO384779,13,1,,1,3,True,PA346809,2007-06-20,2012-06-19
PA346,PO230947,12,1,,1,3,True,PA267973,2002-06-19,2007-06-19
PA794004,PO793072,16,1,,4,0,True,,2022-06-19,
PA794762,PO792194,16,1,,1,0,True,PA794766,2022-06-19,
PA268048,PO230993,12,1,,1,3,True,PA268049,2002-06-19,2007-06-19
PA268048,PO384825,13,1,,1,7,True,PA268049,2007-06-20,2012-06-16
PA268048,PO644979,14,1,,1,7,True,PA643145,2012-06-20,2012-07-21
PA268048,PO644979,14,1,,10,3,True,PA643145,2012-06-20,2017-06-20
PA795326,PO792804,16,1,,4,0,True,,2022-06-19,
PA794038,PO793068,16,1,,1,0,True,PA794042,2022-06-19,
PA795454,PO792860,16,1,,1,0,True,PA795458,2022-06-19,
PA720576,PO718050,15,1,,1,3,True,PA720580,2017-06-18,2022-06-21
PA793964,PO793004,16,1,,1,0,True,PA793968,2022-06-19,
PA720210,PO717938,15,1,,1,3,True,PA417099,2017-06-18,2022-06-21
PA721126,PO718576,15,1,,1,3,True,PA721130,2017-06-18,2022-06-21
PA2236,PO644534,14,1,,1,11,True,PA267110,2012-06-20,2016-07-20
PA2236,PO230548,12,1,,1,3,True,PA267110,2002-06-19,2007-06-19
PA2236,PO384380,13,1,,1,7,True,PA267110,2007-06-20,2007-07-19
PA2236,PO384380,13,1,,10,3,True,PA267110,2007-06-20,2012-06-19
PA605084,PO644429,14,1,,1,3,True,PA642646,2012-06-20,2017-06-20
PA605084,PO717470,15,1,,1,3,True,PA718702,2017-06-18,2022-06-21
PA721640,PO718292,15,1,,8,11,True,,2017-06-18,2021-08-25
PA793780,PO792694,16,1,,1,0,True,PA793784,2022-06-19,
PA335159,PO644812,14,1,,1,3,True,PA722,2012-06-20,2017-06-20
PA335159,PO384658,13,1,,1,3,True,PA345154,2007-06-20,2012-06-19
PA794206,PO791954,16,1,,1,0,True,PA794210,2022-06-19,
PA332636,PO644616,14,1,,1,3,True,PA642817,2012-06-20,2017-06-20
PA332636,PO384462,13,1,,1,3,True,PA342636,2007-06-20,2012-06-19
PA2791,PO230998,12,1,,1,3,True,PA266865,2002-06-19,2007-06-19
PA2791,PO384830,13,1,,1,7,True,PA347497,2007-06-20,2012-06-16
PA267151,PO644537,14,1,,1,3,True,PA642733,2012-06-20,2017-06-20
PA267151,PO384383,13,1,,1,12,True,PA267152,2007-06-20,2007-11-29
PA267151,PO384383,13,1,,15,3,True,,2008-09-14,2012-06-19
PA267151,PO230551,12,1,,1,3,True,PA267152,2002-06-19,2007-06-19
PA267623,PO384765,13,1,,4,3,True,,2007-06-20,2012-06-19
PA267623,PO644919,14,1,,4,6,True,,2012-06-20,2017-01-06
PA720006,PO717882,15,1,,4,6,True,,2017-06-18,2022-06-20
PA720006,PO791982,16,1,,4,0,True,,2022-06-19,
PA267810,PO230870,12,1,,1,3,True,PA267811,2002-06-19,2007-06-19
PA267810,PO384702,13,1,,1,3,True,PA267811,2007-06-20,2012-06-19
PA1515,PO384541,13,1,,1,18,True,PA343653,2007-06-20,2011-09-30
PA1515,PO230709,12,1,,1,3,True,PA2874,2002-06-19,2007-06-19
PA721442,PO792286,16,1,,1,0,True,PA795022,2022-06-19,
PA721442,PO718186,15,1,,8,3,True,,2017-06-18,2022-06-21
PA610066,PO644929,14,1,,1,3,True,PA643022,2012-06-20,2017-06-20
PA429893,PO718496,15,1,,1,17,True,PA720888,2017-06-18,2020-06-23
PA2801,PO230805,12,1,,1,3,True,PA266841,2002-06-19,2007-06-19
